month,day,TIME,TOTAL_FP_IDEX,DSP_CNT_IDEX,clustering,score
12,13,0,-0.4457174419731144,0.07462686567164178,16,1
9,9,0,-0.4456194387205192,0.2040816326530612,13,3
5,23,2,-0.4453363722032723,0.08695652173913043,16,1
4,8,2,-0.44509902658448325,0.10309278350515463,16,1
6,21,0,-0.44493822539086925,0.1935483870967742,13,3
4,3,4,-0.44490301246826003,0.10752688172043012,16,1
9,27,3,-0.44465837252037865,0.145985401459854,13,3
4,25,3,-0.4443128253846688,0.19417475728155337,13,3
6,21,3,-0.44419485172816797,0.14285714285714285,13,3
2,19,1,-0.4441038200330852,0.1,16,1
12,6,0,-0.44408282111994724,0.15503875968992248,13,3
10,4,5,-0.44367022969229053,0.16,13,3
5,9,5,-0.4435816252479701,0.09433962264150943,16,1
12,10,3,-0.443536140128942,0.09345794392523364,16,1
4,13,0,-0.44288639993007084,0.20618556701030927,13,3
9,4,3,-0.44264714140880324,0.09708737864077668,16,1
9,20,5,-0.44261139975199115,0.07518796992481203,16,1
10,13,3,-0.4419616208333237,0.08547008547008547,16,1
8,11,0,-0.44196056423485114,0.09615384615384616,16,1
11,8,3,-0.4419112434158095,0.14184397163120566,13,3
3,21,4,-0.44185894248547564,0.09174311926605505,16,1
3,21,5,-0.4417970905945726,0.08928571428571427,16,1
7,9,4,-0.4415034641664022,0.09174311926605505,16,1
11,22,0,-0.44099814046099306,0.07633587786259542,16,1
3,26,5,-0.44091833362533317,0.18867924528301885,13,3
12,4,0,-0.44055118863884624,0.09803921568627451,16,1
11,29,0,-0.4405317849800914,0.3731343283582089,7,7
6,21,8,-0.44032258625198595,0.04464285714285714,16,1
1,25,1,-0.43988430231453973,0.10695187165775401,16,1
9,6,1,-0.4398781508982802,0.07246376811594203,16,1
4,7,4,-0.4398534017470462,0.10869565217391304,16,1
3,25,3,-0.43976612303669016,0.10101010101010102,16,1
3,9,4,-0.4397043170212372,0.10101010101010102,16,1
2,9,2,-0.4395922449851315,0.1724137931034483,13,3
11,13,0,-0.4393116955984087,0.09090909090909091,16,1
11,18,0,-0.43929329230082526,0.2727272727272727,13,3
5,13,4,-0.4390908712692274,0.09523809523809525,16,1
3,16,2,-0.43908138736682123,0.297029702970297,7,7
11,11,0,-0.43878992407692097,0.18867924528301885,13,3
3,12,0,-0.4381171494303024,0.10752688172043012,16,1
10,4,0,-0.43785247186602544,0.1639344262295082,13,3
10,8,4,-0.4377531024625569,0.1834862385321101,13,3
9,3,5,-0.4373366916326872,0.1904761904761905,13,3
3,22,0,-0.43720333496041697,0.15748031496062992,13,3
4,11,0,-0.43709233655445306,0.2702702702702703,13,3
5,11,3,-0.4368706990649723,0.2884615384615385,7,7
12,2,0,-0.4366662156216513,0.09803921568627451,16,1
